id,PM10,pora_dnia,lc_code,lc_name
70,29.633658536585365,"[0,8)",2,Artificial surfaces
70,31.633766233766234,"[8,16)",2,Artificial surfaces
70,37.05235294117647,"[16,24]",2,Artificial surfaces
41,35.2325,"[0,8)",2,Artificial surfaces
41,36.45542857142857,"[8,16)",2,Artificial surfaces
41,44.27425925925926,"[16,24]",2,Artificial surfaces
83,25.051190476190477,"[0,8)",2,Artificial surfaces
83,27.16,"[8,16)",2,Artificial surfaces
83,32.79423728813559,"[16,24]",2,Artificial surfaces
53,26.459761904761905,"[0,8)",2,Artificial surfaces
53,27.416193548387096,"[8,16)",2,Artificial surfaces
53,36.83325,"[16,24]",2,Artificial surfaces
6,25.069,"[0,8)",1,Agricultural areas
6,25.832236842105264,"[8,16)",1,Agricultural areas
6,33.0585,"[16,24]",1,Agricultural areas
65,49.81390243902439,"[0,8)",2,Artificial surfaces
65,47.19109677419355,"[8,16)",2,Artificial surfaces
65,59.89516666666667,"[16,24]",2,Artificial surfaces
25,32.4847619047619,"[0,8)",2,Artificial surfaces
25,35.71670967741935,"[8,16)",2,Artificial surfaces
25,51.140166666666666,"[16,24]",2,Artificial surfaces
32,28.71780487804878,"[0,8)",2,Artificial surfaces
32,30.367763157894736,"[8,16)",2,Artificial surfaces
32,35.91708333333333,"[16,24]",2,Artificial surfaces
22,39.26170731707317,"[0,8)",2,Artificial surfaces
22,42.343870967741935,"[8,16)",2,Artificial surfaces
22,47.91608333333333,"[16,24]",2,Artificial surfaces
67,37.33295454545455,"[0,8)",2,Artificial surfaces
67,41.17782051282051,"[8,16)",2,Artificial surfaces
67,46.93932203389831,"[16,24]",2,Artificial surfaces
48,25.13,"[0,8)",2,Artificial surfaces
48,27.291437908496732,"[8,16)",2,Artificial surfaces
48,34.53825,"[16,24]",2,Artificial surfaces
57,29.667317073170732,"[0,8)",2,Artificial surfaces
57,32.82884615384615,"[8,16)",2,Artificial surfaces
57,42.63633333333333,"[16,24]",2,Artificial surfaces
38,0.4,"[0,8)",2,Artificial surfaces
38,0.4,"[8,16)",2,Artificial surfaces
38,0.4,"[16,24]",2,Artificial surfaces
116,33.99414634146341,"[0,8)",2,Artificial surfaces
116,35.052451612903226,"[8,16)",2,Artificial surfaces
116,42.06766666666667,"[16,24]",2,Artificial surfaces
7,29.72,"[0,8)",2,Artificial surfaces
7,31.927806451612902,"[8,16)",2,Artificial surfaces
7,37.4175,"[16,24]",2,Artificial surfaces
58,28.032857142857143,"[0,8)",2,Artificial surfaces
58,27.93051612903226,"[8,16)",2,Artificial surfaces
58,34.9218487394958,"[16,24]",2,Artificial surfaces
101,22.858536585365854,"[0,8)",2,Artificial surfaces
101,25.337012987012987,"[8,16)",2,Artificial surfaces
101,31.017916666666668,"[16,24]",2,Artificial surfaces
13,31.8965,"[0,8)",2,Artificial surfaces
13,35.872738853503186,"[8,16)",2,Artificial surfaces
13,40.345378151260505,"[16,24]",2,Artificial surfaces
36,21.51153846153846,"[0,8)",2,Artificial surfaces
36,22.3275974025974,"[8,16)",2,Artificial surfaces
36,28.256333333333334,"[16,24]",2,Artificial surfaces
35,27.870714285714286,"[0,8)",2,Artificial surfaces
35,29.59,"[8,16)",2,Artificial surfaces
35,34.949083333333334,"[16,24]",2,Artificial surfaces
42,23.644186046511628,"[0,8)",2,Artificial surfaces
42,24.019870967741934,"[8,16)",2,Artificial surfaces
42,30.140916666666666,"[16,24]",2,Artificial surfaces
21,30.41139534883721,"[0,8)",2,Artificial surfaces
21,35.769225806451615,"[8,16)",2,Artificial surfaces
21,44.08966386554622,"[16,24]",2,Artificial surfaces
15,33.57048780487805,"[0,8)",2,Artificial surfaces
15,35.61057692307692,"[8,16)",2,Artificial surfaces
15,40.192,"[16,24]",2,Artificial surfaces
81,39.690487804878046,"[0,8)",2,Artificial surfaces
81,39.06070063694268,"[8,16)",2,Artificial surfaces
81,45.58067226890756,"[16,24]",2,Artificial surfaces
71,33.91775,"[0,8)",2,Artificial surfaces
71,37.87941935483871,"[8,16)",2,Artificial surfaces
71,40.968666666666664,"[16,24]",2,Artificial surfaces
30,34.172558139534885,"[0,8)",2,Artificial surfaces
30,39.032322580645165,"[8,16)",2,Artificial surfaces
30,45.53575,"[16,24]",2,Artificial surfaces
78,42.42395348837209,"[0,8)",1,Agricultural areas
78,41.508397435897436,"[8,16)",1,Agricultural areas
78,50.85796610169491,"[16,24]",1,Agricultural areas
46,32.662,"[0,8)",2,Artificial surfaces
46,34.63487179487179,"[8,16)",2,Artificial surfaces
46,41.53584745762712,"[16,24]",2,Artificial surfaces
26,40.73023809523809,"[0,8)",2,Artificial surfaces
